QUESTION,BT_LEVEL
Evaluate the benefits and drawbacks of artificial drainage. ,K5-EVALUATE
"By assuming other factors (pH, water content and etc.) are being equal in clay loam and sandy loam, state which soil would be expected to have higher organic matter content. Justify your answer. ",K5-EVALUATE
Predict the effect on bulk density when a large quantity of organic matter is added into the soil. Justify your answer. ,K5-EVALUATE
Fertilizer that is extremely high in phosphorus content is essential for flowering. Justify. ,K5-EVALUATE
Soil organic matter content will differ depending on environmental conditions. Justify with TWO examples. ,K5-EVALUATE
Comment on the importance of comparative genomics research. ,K5-EVALUATE
Comment on the introduction of seven “_” in the alignment. ,K5-EVALUATE
Indicate whether S2 or S3 is useful for genetic linkage analysis. Justify your answer. ,K5-EVALUATE
Primary structure of a protein plays a significant role in determining the native structure or the protein fold. Comment on the statement. ,K5-EVALUATE
"""Microsatellite tandem repeats are abundant in human promoters and are associated with regulatory activity (Sawaya et al., 2013).” Discuss the statement and support your views with examples. ",K5-EVALUATE
Melting temperature (Tm) is an important criteria to consider when designing primers for PCR amplification. Comment. ,K5-EVALUATE
"Identify the genetic elements in the DNA sequences of Homo sapiens, Homo luzonensis and Homo erectus. Justify your answer. ",K5-EVALUATE
Proline and glycine are prevalent in beta-turns of protein structures. Comment on the statement. ,K5-EVALUATE
"Bernard has successfully determined the sequence of Protein X which consists of 110 amino acid residues. He is interested to predict the protein struc using the available homology modelling software. Based on your knowledge of the mechanism of protein folding, comment on the reliability and accuracy of the prediction. ",K5-EVALUATE
"Comment on the values that were generated for “Identities” and “Positives"". ",K5-EVALUATE
"You are on a mission to study the microbial diversity in a hyperarid desert. Design experimental steps in collecting, storing, and analyzing the samples. Justify the choices in each step and predict the types of microbes that could be found. ",K5-EVALUATE
Justify whether tRNA or mRNA would be more extensively hydrogen bonded. ,K5-EVALUATE
Evaluate board games and justify why rules are important.,K5-EVALUATE
Is there a better solution to . . .?,K5-EVALUATE
Judge aesthetic qualities and relationship to future values.,K5-EVALUATE
Are there students who should not use the Cornell method?,K5-EVALUATE
Do you think . . . is a good or a bad thing?,K5-EVALUATE
Decide which method of solving a problem was most effective ,K5-EVALUATE
Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons (based on principles discussed in class) for why one candidates position is more likely to be effective than the other's.,K5-EVALUATE
Can you defend the idea that Simon's incident with the pig's head is the most mystical in the story?,K5-EVALUATE
 Estimate the epicentral coordinates of the earth-quake,K5-EVALUATE
suggest ways in which it could have responded more effectively,K5-EVALUATE
Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,K5-EVALUATE
Judge the value of . . .?,K5-EVALUATE
Decide which course of action was most effective ,K5-EVALUATE
Estimate the difficulty of the question,K5-EVALUATE
How would you decide about...?,K5-EVALUATE
Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,K5-EVALUATE
"improved, reformed or rejected?",K5-EVALUATE
Evaluate the corrosion monitoring needs of a chemical processing plant ,K5-EVALUATE
"After designing an experiment, examining the results, and drawing conclusions, determines in what ways the experiment could be conducted more effectively in order to draw more productive conclusions in the future.",K5-EVALUATE
Do you agree...?,K5-EVALUATE
Select the most effective solution.,K5-EVALUATE
Place the following in order of priority...,K5-EVALUATE
What do you think is the best thing about coming to Viestal?,K5-EVALUATE
How Do You Think One Should Reason in Making Ethical Decisions in Business,K5-EVALUATE
"Given the two solutions to the stated programming problem, rate the solutions in  terms of efficiency and readability.",K5-EVALUATE
Estimate expenditure on HIV/AIDS education,K5-EVALUATE
What criteria would you use to assess...?,K5-EVALUATE
Predict what will happen next in.,K5-EVALUATE
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",K5-EVALUATE
"Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",K5-EVALUATE
Do you think that this statement conveys the idea that i am trying to portray,K5-EVALUATE
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,K5-EVALUATE
Assess the importance of understanding seasonal patters.,K5-EVALUATE
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",K5-EVALUATE
Are you a . . . person?,K5-EVALUATE
Evaluate appropriate and inappropriate actions of characters.,K5-EVALUATE
Appraise the speech's effectiveness based upon the class' criteria.,K5-EVALUATE
"Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",K5-EVALUATE
What do you think is the mass and why,K5-EVALUATE
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,K5-EVALUATE
Justify the title To Kill a Mockingbird .,K5-EVALUATE
Construct a poster that will advertise your new food product in an exciting and irresistible way.,K5-EVALUATE
"Evaluate a work of art, giving the reasons for your evaluation.",K5-EVALUATE
Estimate roughly how long the collision process takes,K5-EVALUATE
decide about the most exciting part of the book. being sure to give at least three reasons why?,K5-EVALUATE
Assess the relative effectiveness of different graphical representations of the same data or biological concept.,K5-EVALUATE
Assess the appropriateness of an author's conclusions based on the evidence given.,K5-EVALUATE
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",K5-EVALUATE
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,K5-EVALUATE
Select the best proposal for a proposed water treatment plant.,K5-EVALUATE
Design a healthy menu that you think most people would enjoy using the healthy eating guide.,K5-EVALUATE
Can you defend your position about . . .?,K5-EVALUATE
Choose and illustrate the two most important events in the story.,K5-EVALUATE
How effective are . . .?,K5-EVALUATE
What is the most important...?,K5-EVALUATE
judge the difficulty level for yourself.,K5-EVALUATE
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,K5-EVALUATE
Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4) ,K5-EVALUATE
How would you have handled . . .?,K5-EVALUATE
Establish criteria for making this choice and defend your final selection.,K5-EVALUATE
Decide which candidate would best fill the position of principal.,K5-EVALUATE
What is part of this book did you like best. Tell why you like it?,K5-EVALUATE
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.  ",K5-EVALUATE
"After solving a problem, determine the degree to which the problem was solved as efficiently as possible ",K5-EVALUATE
Explain choices made in making recommendations to an end user.,K5-EVALUATE
Would you have liked to have had Cinderella for a sister? Explain why or why not.,K5-EVALUATE
Choose a paint schedule for the maintenance of an outdoor structure? (level 2) ,K5-EVALUATE
Write a list of criteria to judge the Willy raps.,K5-EVALUATE
Justify and nominate ways to prevent animal extinction.,K5-EVALUATE
Determine if a character’s actions were heroic ,K5-EVALUATE
What criteria would you use to assess the validity of a business contract?,K5-EVALUATE
Recommend how our classroom or playground could be improved.,K5-EVALUATE
Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,K5-EVALUATE
Revise the story and specify the type of audience that would enjoy this book.,K5-EVALUATE
Decide whether you learned enough about electricity from this book.,K5-EVALUATE
Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,K5-EVALUATE
How would you feel if . . .?,K5-EVALUATE
"Given an argument on any position, enumerate the logical fallacies in that argument.",K5-EVALUATE
What do you think are the strengths of using integrated math in your program?,K5-EVALUATE
"Given the data available on a research question, take a position and defend it.",K5-EVALUATE
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",K5-EVALUATE
What changes to . . . would you recommend?,K5-EVALUATE
Explain and justify a new budget.,K5-EVALUATE
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,K5-EVALUATE
Defend your use of a specific strategy in solving the problem.,K5-EVALUATE
Evaluate whether their model is a true representation of the local environment.,K5-EVALUATE
Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,K5-EVALUATE
 Estimate the risk of serious illness for consumers in different susceptible population groups,K5-EVALUATE
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",K5-EVALUATE
Conclude and support which economic system leads to a higher standard of living.,K5-EVALUATE
Decide whether you could have survived on the island blind and alone. Write about things that would have been challenging making sure to,K5-EVALUATE
How do you think the community should grow or change,K5-EVALUATE
Was Hemingway a great American writer? First you will need to define greatness.,K5-EVALUATE
Which of the following actions would probably be least effective in determining the answer? ,K5-EVALUATE
Critique an experimental design or a research proposal.,K5-EVALUATE
Appraise data in support of a hypothesis.,K5-EVALUATE
Decide whether you are in favor of building on a floodplain; defend your position in a debate.,K5-EVALUATE
"Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",K5-EVALUATE
What do you think about . . .?,K5-EVALUATE
"After examining the videotape of a play in a football game, determine the degree to which the defensive team performed effectively and",K5-EVALUATE
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,K5-EVALUATE
Propose  and justify ONE  (1)  international market-entry strategy  that   you   may   consider   to market your   products internationally.,K5-EVALUATE
State your recommended solution with justification.,K5-EVALUATE
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,K5-EVALUATE
Justify your answers with elaborations by providing any TWO (2) reasons.,K5-EVALUATE
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,K5-EVALUATE
Suggest THREE (3) methods Game2 can take to prevent damage to its Web sites and continuing operations.  Justify your answer.,K5-EVALUATE
Relate cycle-time reduction to improved performance. Justify your answer.,K5-EVALUATE
Scaling methods can improve the performance of the web site. Propose to Jane which scaling method suit her current business needs. Justify your answer.,K5-EVALUATE
Provide THREE (3) justification on how would the university community be encouraged to place orders and become loyal customers.,K5-EVALUATE
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",K5-EVALUATE
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,K5-EVALUATE
Argue critically with relevant examples.,K5-EVALUATE
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",K5-EVALUATE
Evaluate the need for ethics in research.,K5-EVALUATE
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,K5-EVALUATE
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,K5-EVALUATE
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,K5-EVALUATE
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,K5-EVALUATE
PERCEPTION STUDIES based on SURVEY METHOD are useful and common in both academic and market research. Critically evaluate the strategies used  in data collection that can increase the response rate when conducting a survey.,K5-EVALUATE
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,K5-EVALUATE
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",K5-EVALUATE
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,K5-EVALUATE
Evaluate the types of power Benjamin Fang is exercising in Sun Plantations and explain how this is being eroded by the changes taking place in the environment.,K5-EVALUATE
Discuss the extent to which the existence of a conflict between a company's objectives is acceptable.,K5-EVALUATE
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",K5-EVALUATE
"Identify and recommend any appropriate amendments to the proposal presented in order to rectify the errors made in estimating the company's current cost of capital and current value. For each of the revisions, explain the reasons why it should be amended.",K5-EVALUATE
"Recommend with justification, a value or range of values to the Board of Directors for the acquisition of ESL Berhad.",K5-EVALUATE
"Critically review the strengths, weaknesses,  opportunities and threats of Associated Meats Sdn Bhd in light of the forecast trends and developments.",K5-EVALUATE
"Critically appraise the five competitive forces encased within Porter's ""Five Forces"" model within the context of a profit-oriented organisation and discuss the threat posed to the firm by each of these forces.",K5-EVALUATE
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",K5-EVALUATE
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,K5-EVALUATE
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,K5-EVALUATE
Develop a proof ... and justify each step ... ,K5-EVALUATE
How would you rank the items given the criteria ?,K5-EVALUATE
Prepare a list of criteria to judge ... Evaluate expressions,K5-EVALUATE
What criteria would you use to assess...? ,K5-EVALUATE
How would you justify . . . ?,K5-EVALUATE
"Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",K5-EVALUATE
"""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?",K5-EVALUATE
Judge how well a project meets the criteria of a rubric.,K5-EVALUATE
What would you cite to defend the actions . . . ? ,K5-EVALUATE
Justify the object oriented programming concept,K5-EVALUATE
Judge the value of... What do you think about...?,K5-EVALUATE
What criteria would you use to evaluate if your answer is correct?,K5-EVALUATE
Can you justify the decisions you have made ? ,K5-EVALUATE
Judge the validity of arguments for and against astrology,K5-EVALUATE
Outline how class ArrayList could be implemented using an array,K5-EVALUATE
Rate the following recommendations and set the priority _____.,K5-EVALUATE
Can you assess the value or importance of . . . ?,K5-EVALUATE
What data was used to evaluate ____________?,K5-EVALUATE
Can you defend your position about ... ?,K5-EVALUATE
"Prepare a case to present, and evaluate your view about ...",K5-EVALUATE
Justify the concept of inheritance and give the sample of code to illustrate your answer.,K5-EVALUATE
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,K5-EVALUATE
Propose  and justify ONE  (1)  international market-entry strategy that you may consider to market your products internationally.,K5-EVALUATE
State your recommended solution with justification.,K5-EVALUATE
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,K5-EVALUATE
Justify your answers with elaborations by providing any TWO (2) reasons.,K5-EVALUATE
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,K5-EVALUATE
Justify which digital video file format you would use for your movie.,K5-EVALUATE
Justify why Benny used MP3 instead of other audio format.,K5-EVALUATE
Comment on the most appropriate methods in which to deliver such a presentation and also address the merits of the methods you suggest in your solution.,K5-EVALUATE
Explain whether Howard can have the video streamed effectively at 1 Mbps data rate on a 1 Mbps Internet  connection.,K5-EVALUATE
"Using an appropriate example, prove that listeners are able to manage resources effectively  in  web  applications.",K5-EVALUATE
"""HTTP POST method is better suited to send confidential information compared to HTTP GET method in web applications."" Justify the statement.",K5-EVALUATE
"Appraise the URL Rewriting, Hidden Form Field and Cookies methods which are supported by the technology.",K5-EVALUATE
"MVC (Model View Controller) leads to low coupling"". Justify.",K5-EVALUATE
The impact of using JSTL in software development can significantly reduce its development time. Prove that there is some truth in the statement.,K5-EVALUATE
JSP Technology is meant to replace Servlet Technology. Justify  to  what extent the statement is true.,K5-EVALUATE
"Popular search engines such as Google, Yahoo and others are used to search information on the web based on user defined keywords. Determine and justify the appropriate HTTP method that should be deployed by those search engines.",K5-EVALUATE
Critically  evaluate the JDBC  and pooling  method  in the context of database connections.,K5-EVALUATE
HTTP is a stateless protocol. Justify.,K5-EVALUATE
Comment on the validity of your answer.,K5-EVALUATE
Provide some justifications for the data warehouse architecture that you have chosen in Q2 (a).,K5-EVALUATE
Critically  appraise  of  making  data  warehouse  Web  Enable  in  the company.,K5-EVALUATE
Differentiate between classification  and prediction.  Justify your answer using an example for each.,K5-EVALUATE
Propose any TWO (2) alternative solutions from organization structures perspective to facilitate the KM practice. Justify your answers with short elaborations.,K5-EVALUATE
Justify why company XYZ needs to use expert systems,K5-EVALUATE
Suggest THREE (3) methods Game2 can take to prevent damage to its Web sites and continuing operations.  Justify your answer.,K5-EVALUATE
Relate cycle-time reduction to improved performance. Justify your answer.,K5-EVALUATE
Scaling methods can improve the performance of the web site. Propose to Jane which scaling method suit her current business needs. Justify your answer.,K5-EVALUATE
Provide THREE (3) justification on how would the university community be encouraged to place orders and become loyal customers.,K5-EVALUATE
"Based on your opinion, discuss critically, how far you agree that race relations have become unhealthy in our country.",K5-EVALUATE
"Discuss critically, by using your understanding of nature and nurture.",K5-EVALUATE
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",K5-EVALUATE
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,K5-EVALUATE
Argue critically with relevant examples.,K5-EVALUATE
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",K5-EVALUATE
Evaluate the need for ethics in research.,K5-EVALUATE
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,K5-EVALUATE
"With the aid of pseudocode or source codes, assess the usage of fork, exec and wait functions in working together in inter process communication.",K5-EVALUATE
“Transgenic technology is the best method used for crop improvement and that it should be the only method adopted in future”. Comment on the above statement and justify your explanation.,K5-EVALUATE
"As a fermentation technologist, you are required to maximise the production of citric acid through chemostat process. The chemostat process is going to be operated at dilution rate of 0.25 h-1 with 30 g/L of sucrose concentration in the feeding tank. Evaluate the possibilities in employing chemostat for citric acid production.",K5-EVALUATE
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,K5-EVALUATE
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,K5-EVALUATE
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,K5-EVALUATE
PERCEPTION STUDIES based on SURVEY METHOD are useful and common in both academic and market research. Critically evaluate the strategies used in data collection that can increase the response rate when conducting a survey.,K5-EVALUATE
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,K5-EVALUATE
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",K5-EVALUATE
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,K5-EVALUATE
"Evaluate the types of power Benjamin Fang is exercising in Sun Plantations, and explain how this is being eroded by the changes taking place in the environment.",K5-EVALUATE
Discuss the extent to which the existence of a conflict between a company's objectives is acceptable.,K5-EVALUATE
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",K5-EVALUATE
"Identify and recommend any appropriate amendments to the proposal presented in order to rectify the errors made in estimating the company's current cost of capital and current value. For each of the revisions, explain the reasons why it should be amended.",K5-EVALUATE
"Recommend with justification, a value or range of values to the Board of Directors for the acquisition of ESL Berhad.",K5-EVALUATE
"Critically review the strengths, weaknesses,  opportunities and threats of Associated Meats Sdn Bhd in light of the forecast trends and developments.",K5-EVALUATE
"Critically appraise the five competitive forces encased within Porter's ""FIVE FORCES"" model within the context of a profit-oriented organization and discuss the threat posed to the firm by each of these forces.",K5-EVALUATE
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",K5-EVALUATE
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,K5-EVALUATE
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,K5-EVALUATE
Develop a proof ... and justify each step ... ,K5-EVALUATE
How would you rank the items given the criteria ?,K5-EVALUATE
Prepare a list of criteria to judge ... Evaluate expressions,K5-EVALUATE
What criteria would you use to assess...? ,K5-EVALUATE
How would you justify . . . ?,K5-EVALUATE
"Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",K5-EVALUATE
"""Don’t use public instance variables"" is defensive programming techniques. discuss why it is good advice?",K5-EVALUATE
Judge how well a project meets the criteria of a rubric.,K5-EVALUATE
What would you cite to defend the actions . . . ? ,K5-EVALUATE
Justify the object oriented programming concept,K5-EVALUATE
Judge the value of... What do you think about...?,K5-EVALUATE
What criteria would you use to evaluate if your answer is correct?,K5-EVALUATE
Can you justify the decisions you have made ? ,K5-EVALUATE
Judge the validity of arguments for and against astrology,K5-EVALUATE
Outline how class ArrayList could be implemented using an array,K5-EVALUATE
Rate the following recommendations and set the priority _____.,K5-EVALUATE
Can you assess the value or importance of . . . ?,K5-EVALUATE
What data was used to evaluate ____________?,K5-EVALUATE
Can you defend your position about ... ?,K5-EVALUATE
"Prepare a case to present, and evaluate your view about ...",K5-EVALUATE
Justify the concept of inheritance and give the sample of code to illustrate your answer.,K5-EVALUATE
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,K5-EVALUATE
Propose  and justify ONE  (1)  international market-entry strategy that you may consider to market your products internationally.,K5-EVALUATE
State your recommended solution with justification.,K5-EVALUATE
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,K5-EVALUATE
Justify your answers with elaborations by providing any TWO (2) reasons.,K5-EVALUATE
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,K5-EVALUATE
Justify which digital video file format you would use for your movie.,K5-EVALUATE
Justify why Benny used MP3 instead of other audio format.,K5-EVALUATE
Comment on the most appropriate methods in which to deliver such a presentation and also address the merits of the methods you suggest in your solution.,K5-EVALUATE
Explain whether Howard can have the video streamed effectively at 1 Mbps data rate on a 1 Mbps Internet  connection.,K5-EVALUATE
"Using an appropriate example, prove that listeners are able to manage resources effectively  in  web  applications.",K5-EVALUATE
"""HTTP POST method is better suited to send confidential information compared to HTTP GET method in web applications."" Justify the statement.",K5-EVALUATE
"Appraise the URL Rewriting, Hidden Form Field and Cookies methods which are supported by the technology.",K5-EVALUATE
"MVC (Model View Controller) leads to low coupling"". Justify.",K5-EVALUATE
The impact of using JSTL in software development can significantly reduce its development time. Prove that there is some truth in the statement.,K5-EVALUATE
JSP Technology is meant to replace Servlet Technology. Justify  to  what extent the statement is true.,K5-EVALUATE
"Popular search engines such as Google, Yahoo and others are used to search information on the web based on user defined keywords. Determine and justify the appropriate HTTP method that should be deployed by those search engines.",K5-EVALUATE
Critically  evaluate the JDBC  and pooling  method  in the context of database connections.,K5-EVALUATE
HTTP is a stateless protocol. Justify.,K5-EVALUATE
Comment on the validity of your answer.,K5-EVALUATE
Provide some justifications for the data warehouse architecture that you have chosen in Q2 (a).,K5-EVALUATE
Critically  appraise  of  making  data  warehouse  Web  Enable  in  the company.,K5-EVALUATE
Differentiate between classification  and prediction.  Justify your answer using an example for each.,K5-EVALUATE
Propose any TWO (2) alternative solutions from organization structures perspective to facilitate the KM practice. Justify your answers with short elaborations.,K5-EVALUATE
Justify why company XYZ needs to use expert systems,K5-EVALUATE
Suggest THREE (3) methods Game2 can take to prevent damage to its Web sites and continuing operations.  Justify your answer.,K5-EVALUATE
Relate cycle-time reduction to improved performance. Justify your answer.,K5-EVALUATE
Scaling methods can improve the performance of the web site. Propose to Jane which scaling method suit her current business needs. Justify your answer.,K5-EVALUATE
Provide THREE (3) justification on how would the university community be encouraged to place orders and become loyal customers.,K5-EVALUATE
"Based on your opinion, discuss critically, how far you agree that race relations have become unhealthy in our country.",K5-EVALUATE
"Discuss critically, by using your understanding of nature and nurture.",K5-EVALUATE
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",K5-EVALUATE
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,K5-EVALUATE
Argue critically with relevant examples.,K5-EVALUATE
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",K5-EVALUATE
Evaluate the need for ethics in research.,K5-EVALUATE
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,K5-EVALUATE
"With the aid of pseudocode or source codes, assess the usage of fork, exec and wait functions in working together in inter process communication.",K5-EVALUATE
“Transgenic technology is the best method used for crop improvement and that it should be the only method adopted in future”. Comment on the above statement and justify your explanation.,K5-EVALUATE
"As a fermentation technologist, you are required to maximise the production of citric acid through chemostat process. The chemostat process is going to be operated at dilution rate of 0.25 h-1 with 30 g/L of sucrose concentration in the feeding tank. Evaluate the possibilities in employing chemostat for citric acid production.",K5-EVALUATE
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,K5-EVALUATE
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,K5-EVALUATE
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,K5-EVALUATE
PERCEPTION STUDIES based on SURVEY METHOD are useful and common in both academic and market research. Critically evaluate the strategies used in data collection that can increase the response rate when conducting a survey.,K5-EVALUATE
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,K5-EVALUATE
"With reference  to the case, evaluate the similarities  and differences  between  open mindedness and mental models.",K5-EVALUATE
Evaluate the appropriateness of drugs advertising by the pharmaceutical firms.,K5-EVALUATE
"Evaluate the types of power Benjamin Fang is exercising in Sun Plantations, and explain how this is being eroded by the changes taking place in the environment.",K5-EVALUATE
Discuss the extent to which the existence of a conflict between a company's objectives is acceptable.,K5-EVALUATE
"Discuss the extent to which it is feasible for a company to 'operationalise' its social responsibility Spirations, that is, whether it is possible to bring these considerations into strategic decision-making in a programmed or systematic way.",K5-EVALUATE
"Identify and recommend any appropriate amendments to the proposal presented in order to rectify the errors made in estimating the company's current cost of capital and current value. For each of the revisions, explain the reasons why it should be amended.",K5-EVALUATE
"Recommend with justification, a value or range of values to the Board of Directors for the acquisition of ESL Berhad.",K5-EVALUATE
"Critically review the strengths, weaknesses,  opportunities and threats of Associated Meats Sdn Bhd in light of the forecast trends and developments.",K5-EVALUATE
"Critically appraise the five competitive forces encased within Porter's ""FIVE FORCES"" model within the context of a profit-oriented organization and discuss the threat posed to the firm by each of these forces.",K5-EVALUATE
"Evaluate the nature and effect of significant ""entry barriers"" on the formulation of a strategic plan for a business which is already established in the industry.",K5-EVALUATE
Assess the reason for hazard communication and the mode of communication practice for chemical safety at worksite.,K5-EVALUATE
Currently the product life cycle for Apple iPod is in the 'growth stage'. Provide evidence to support your answer.,K5-EVALUATE
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,K5-EVALUATE
Propose  and justify ONE  (1)  international market-entry strategy  that   you   may   consider   to market your   products internationally.,K5-EVALUATE
State your recommended solution with justification.,K5-EVALUATE
Explain TWO (2) ways on how monopoly harms consumers and hurts the economy. Justify and illustrate your answers.,K5-EVALUATE
Justify your answers with elaborations by providing any TWO (2) reasons.,K5-EVALUATE
Propose  an  e-commerce  classification  model  that  suits the  needs  of  John's business. Justify your answer.,K5-EVALUATE
Suggest THREE (3) methods Game2 can take to prevent damage to its Web sites and continuing operations.  Justify your answer.,K5-EVALUATE
Relate cycle-time reduction to improved performance. Justify your answer.,K5-EVALUATE
Scaling methods can improve the performance of the web site. Propose to Jane which scaling method suit her current business needs. Justify your answer.,K5-EVALUATE
Provide THREE (3) justification on how would the university community be encouraged to place orders and become loyal customers.,K5-EVALUATE
"Based on your observation of the local newspaper industry, discuss and state your stance on whether gender affects professional news selection.",K5-EVALUATE
Discuss how far you agree with this statement with emphasis on circulation management of a newspaper company.,K5-EVALUATE
Argue critically with relevant examples.,K5-EVALUATE
"Evaluate the performance of Malaysian newspapers and comment on what you think they should do to win back readers, particularly those who show preference for online news.",K5-EVALUATE
Evaluate the need for ethics in research.,K5-EVALUATE
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,K5-EVALUATE
Evaluate the three specific effects caused by the applications of information technology on the nature of competition.,K5-EVALUATE
Winer (2001) proposes a 7-component Customer Relationship Management (CRM) Model as a framework to implement a successful CRM program. Evaluate each of the seven components of the CRM Model.,K5-EVALUATE
Alavi and Leidner (2001) examine how information technology (IT) can be a key enabler in supporting four organizational knowledge management (KM) processes. Critically assess the role of IT in supporting the four KM processes.,K5-EVALUATE
PERCEPTION STUDIES based on SURVEY METHOD are useful and common in both academic and market research. Critically evaluate the strategies used  in data collection that can increase the response rate when conducting a survey.,K5-EVALUATE
Critically review how a shift in the mental model with a different set of assumptions could change Yahoo.,K5-EVALUATE
